GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,98,1,10,0,19,1,7,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,0,257,3,10,0,70,3,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,55,17,6,0,22,6,6,2,2,2
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,16,46,4,4,5,14,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,0,79,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,34,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,16,40,4,0,4,13,2,4,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,33,225,2,2,12,55,2,6,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,14,93,1,3,5,24,1,5,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,22,74,3,3,10,27,3,6,0,6
